,title,tconst,startYear,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,Unknown,War,Western
0,Le cabinet du docteur Caligari,tt0010323,1920,8.0,64467,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,Anne de Boleyn,tt0010962,1920,6.5,718,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,L'Atlantide,tt0010969,1921,6.7,397,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Pages arrachées au livre de satan,tt0011000,1920,6.6,1285,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Le Docteur Jekyll et M. Hyde,tt0011130,1920,6.9,5530,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Vers le bonheur,tt0011157,1920,6.4,957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,La marche dans la nuit,tt0011217,1921,6.2,437,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Le Golem,tt0011237,1920,7.2,7841,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Pour son gosse,tt0011358,1920,6.6,432,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Le monastère de Sendomir,tt0011370,1920,6.9,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Sagamore le Mohican,tt0011387,1920,6.7,1309,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Le signe de Zorro,tt0011439,1920,7.1,2556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,Satan,tt0011565,1920,7.4,2430,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Pollyanna,tt0011588,1920,6.4,460,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,La quatrième alliance de Dame Marguerite,tt0011607,1920,7.2,1357,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Ce crétin de Malec,tt0011652,1920,6.1,1630,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,L'amour a-t-il un maître ?,tt0011716,1920,5.9,628,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Les araignées - Le cargo d'esclaves,tt0011723,1920,6.1,970,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Sumurun,tt0011742,1920,6.1,754,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,De l'aube à minuit,tt0011833,1920,6.9,535,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,L'image vagabonde,tt0011837,1920,6.0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,À travers l'orage,tt0011841,1920,7.4,5565,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,L'échange,tt0011865,1920,6.7,1443,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Within Our Gates,tt0011870,1920,6.4,3214,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,La carte fatale,tt0011904,1921,6.8,1248,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,Le coeur nous trompe,tt0011909,1921,6.7,1305,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Soyez ma femme,tt0011948,1921,6.8,446,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,La chatte des montagne,tt0011960,1921,6.9,1209,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,La dame aux camélias,tt0012027,1921,6.5,1008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Eugénie Grandet,tt0012068,1921,6.8,465,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,El Dorado,tt0012134,1921,7.1,454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Les Quatre Cavaliers de l'Apocalypse,tt0012190,1921,7.2,3383,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32,Hamlet,tt0012249,1921,7.0,479,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Le Kid,tt0012349,1921,8.3,126711,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,La charrette fantôme,tt0012364,1921,8.0,12715,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Les Trois Lumières,tt0012494,1921,7.6,6169,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Les Deux Orphelines,tt0012532,1921,7.3,5204,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,Les révoltés,tt0012538,1920,6.5,644,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
38,Marin malgré lui,tt0012642,1921,6.8,1148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,La découverte d'un secret,tt0012651,1921,6.1,1901,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,Le Cheik,tt0012675,1921,6.2,3444,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,Les trois mousquetaires,tt0012752,1921,6.9,1041,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Le coeur sur la main,tt0012763,1921,7.1,1881,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Quatre hommes pour une femme,tt0012806,1921,5.9,498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Régina,tt0012928,1922,6.4,841,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,Le droit d'aimer,tt0012938,1922,6.7,2347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,Arènes sanglantes,tt0012952,1922,6.4,1432,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
47,La Terre qui flambe,tt0012973,1922,7.0,721,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Crainquebille,tt0013033,1922,7.0,410,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Il était une fois,tt0013059,1922,6.4,478,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Et puis ça va,tt0013075,1922,7.1,1535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Mabuse le démon du crime,tt0013086,1922,7.8,8533,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
52,Folies de femmes,tt0013140,1922,7.0,3697,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,Aimez-vous les uns les autres,tt0013169,1922,6.5,509,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Le talisman de Grand-mère,tt0013201,1922,7.0,1896,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,La sorcellerie à travers les âges,tt0013257,1922,7.6,14804,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Le réquisitoire,tt0013372,1922,6.4,478,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
